PC_TIME,K,TIME,TEXP,PWM_RX,DIST_RAW,DIST_FILT,V_RAW,V_FILT,U_SHIFT,U_CMD_PWM,LOOP_TIME_MS
2026-03-10 16:21:58.954,1,3952,50,1150,222.09,222.09,0.00,0.00,20.00,1170,40.574
2026-03-10 16:21:58.999,2,4002,100,1150,222.09,222.09,0.00,0.00,40.00,1190,21.567
2026-03-10 16:21:59.114,3,4052,150,1170,222.11,222.09,0.00,0.00,60.00,1210,16.792
2026-03-10 16:21:59.135,4,4102,200,1170,222.09,222.09,0.00,0.00,80.00,1230,12.899
2026-03-10 16:21:59.150,5,4152,250,1190,221.94,222.09,0.00,0.00,80.00,1230,27.132
2026-03-10 16:21:59.201,6,4202,300,1230,221.10,222.09,0.00,0.00,80.00,1230,23.483
2026-03-10 16:21:59.245,7,4252,350,1230,220.45,222.08,0.20,0.04,80.00,1230,10.210
2026-03-10 16:21:59.306,8,4302,400,1230,217.91,222.04,0.80,0.19,80.00,1230,12.582
2026-03-10 16:21:59.349,9,4352,450,1230,217.43,221.96,1.60,0.47,80.00,1230,17.412
2026-03-10 16:21:59.398,10,4402,500,1230,205.25,221.75,4.20,1.22,80.00,1230,14.779
2026-03-10 16:21:59.444,11,4452,550,1230,201.67,221.54,4.20,1.82,80.00,1230,16.171
2026-03-10 16:21:59.499,12,4502,600,1230,209.23,220.92,12.40,3.93,80.00,1230,23.283
2026-03-10 16:21:59.547,13,4552,650,1230,205.90,220.17,15.00,6.15,80.00,1230,21.538
2026-03-10 16:21:59.593,14,4602,700,1230,191.87,219.42,15.00,7.92,80.00,1230,22.639
2026-03-10 16:21:59.649,15,4652,750,1230,193.52,218.54,17.60,9.85,80.00,1230,13.804
2026-03-10 16:21:59.693,16,4702,800,1230,188.77,217.29,25.00,12.88,80.00,1230,16.213
2026-03-10 16:21:59.750,17,4752,850,1230,182.53,216.02,25.40,15.39,80.00,1230,22.232
2026-03-10 16:21:59.793,18,4802,900,1230,179.18,214.65,27.40,17.79,80.00,1230,11.898
2026-03-10 16:21:59.842,19,4852,950,1230,176.18,213.05,32.00,20.63,80.00,1230,24.729
2026-03-10 16:21:59.949,20,4902,1000,1230,173.23,211.35,34.00,23.30,80.00,1230,12.838
2026-03-10 16:22:00.031,21,4952,1050,1230,169.99,209.60,35.00,25.64,80.00,1230,24.831
2026-03-10 16:22:00.059,22,5002,1100,1230,166.65,207.78,36.40,27.80,80.00,1230,11.903
2026-03-10 16:22:00.140,23,5052,1150,1230,164.18,205.89,37.80,29.80,80.00,1230,24.506
2026-03-10 16:22:00.168,24,5102,1200,1230,38.24,203.93,39.20,31.68,80.00,1230,12.749
2026-03-10 16:22:00.183,25,5152,1250,1230,91.72,201.94,39.80,33.30,80.00,1230,12.817
2026-03-10 16:22:00.200,26,5202,1300,1230,154.38,199.56,47.60,36.16,80.00,1230,12.300
2026-03-10 16:22:00.242,27,5252,1350,1230,150.68,197.12,48.80,38.69,80.00,1230,14.678
