PC_TIME,K,TIME,TEXP,PWM_RX,DIST_RAW,DIST_FILT,V_RAW,V_FILT,U_SHIFT,U_CMD_PWM,LOOP_TIME_MS
2026-03-17 12:08:55.147,1,3952,50,1150,224.58,224.58,0.00,0.00,20.00,1170,30.413
2026-03-17 12:08:55.180,2,4002,100,1150,224.56,224.58,0.00,0.00,20.00,1170,13.408
2026-03-17 12:08:55.214,3,4052,150,1170,78.77,224.58,0.00,0.00,50.00,1200,9.756
2026-03-17 12:08:55.250,4,4102,200,1170,225.01,224.58,0.00,0.00,50.00,1200,21.899
2026-03-17 12:08:55.310,5,4152,250,1200,224.99,224.58,0.00,0.00,80.00,1230,9.646
2026-03-17 12:08:55.347,6,4202,300,1200,224.89,224.59,-0.20,-0.04,80.00,1230,19.962
2026-03-17 12:08:55.396,7,4252,350,1230,223.00,224.61,-0.40,-0.11,80.00,1230,16.210
2026-03-17 12:08:55.447,8,4302,400,1230,221.96,224.62,-0.20,-0.13,80.00,1230,13.601
2026-03-17 12:08:55.498,9,4352,450,1230,227.01,224.64,-0.40,-0.18,80.00,1230,8.718
2026-03-17 12:08:55.545,10,4402,500,1230,223.96,224.60,0.80,0.01,80.00,1230,9.292
2026-03-17 12:08:55.603,11,4452,550,1230,213.69,224.52,1.60,0.33,80.00,1230,14.180
2026-03-17 12:08:55.644,12,4502,600,1230,224.77,224.49,0.60,0.38,80.00,1230,19.934
2026-03-17 12:08:55.703,13,4552,650,1230,201.36,224.47,0.40,0.39,80.00,1230,8.728
2026-03-17 12:08:55.744,14,4602,700,1230,195.25,223.93,10.80,2.47,80.00,1230,13.716
2026-03-17 12:08:55.795,15,4652,750,1230,203.50,222.91,20.40,6.06,80.00,1230,9.298
2026-03-17 12:08:55.844,16,4702,800,1230,191.98,221.83,21.60,9.16,80.00,1230,21.819
2026-03-17 12:08:55.918,17,4752,850,1230,188.07,220.50,26.60,12.65,80.00,1230,9.232
2026-03-17 12:08:55.944,18,4802,900,1230,183.44,219.08,28.40,15.80,80.00,1230,14.113
2026-03-17 12:08:55.998,19,4852,950,1230,180.47,217.52,31.20,18.88,80.00,1230,23.200
2026-03-17 12:08:56.048,20,4902,1000,1230,177.93,215.82,34.00,21.90,80.00,1230,19.908
2026-03-17 12:08:56.099,21,4952,1050,1230,174.45,214.05,35.40,24.60,80.00,1230,16.385
2026-03-17 12:08:56.143,22,5002,1100,1230,171.14,212.25,36.00,26.88,80.00,1230,19.060
2026-03-17 12:08:56.194,23,5052,1150,1230,168.16,210.36,37.80,29.07,80.00,1230,14.691
2026-03-17 12:08:56.245,24,5102,1200,1230,164.43,208.40,39.20,31.09,80.00,1230,11.585
2026-03-17 12:08:56.299,25,5152,1250,1230,161.84,206.38,40.40,32.95,80.00,1230,20.458
