PC_TIME,K,TIME,TEXP,PWM_RX,DIST_RAW,DIST_FILT,V_RAW,V_FILT,U_SHIFT,U_CMD_PWM,LOOP_TIME_MS
2026-03-17 13:37:05.388,1,3951,50,1150,163.56,163.56,0.00,0.00,20.00,1170,45.287
2026-03-17 13:37:05.438,2,4001,100,1150,164.49,163.56,0.00,0.00,20.00,1170,24.969
2026-03-17 13:37:05.468,3,4051,150,1170,164.61,163.56,0.00,0.00,20.00,1170,26.132
2026-03-17 13:37:05.506,4,4101,200,1170,163.41,163.56,0.00,0.00,40.00,1190,19.277
2026-03-17 13:37:05.558,5,4151,250,1170,162.96,163.56,0.00,0.00,40.00,1190,13.590
2026-03-17 13:37:05.616,6,4201,300,1190,162.36,163.55,0.20,0.04,40.00,1190,18.184
2026-03-17 13:37:05.656,7,4251,350,1190,161.42,163.52,0.60,0.15,60.00,1210,10.340
2026-03-17 13:37:05.715,8,4301,400,1190,160.11,163.46,1.20,0.36,60.00,1210,14.826
2026-03-17 13:37:05.756,9,4351,450,1210,158.64,163.36,2.00,0.69,60.00,1210,19.857
2026-03-17 13:37:05.809,10,4401,500,1210,156.49,163.20,3.20,1.19,80.00,1230,27.705
2026-03-17 13:37:05.855,11,4451,550,1210,154.57,162.97,4.60,1.87,80.00,1230,13.536
2026-03-17 13:37:05.917,12,4501,600,1230,152.72,162.65,6.40,2.78,80.00,1230,14.085
2026-03-17 13:37:05.956,13,4551,650,1230,150.10,162.24,8.20,3.86,80.00,1230,22.330
2026-03-17 13:37:06.010,14,4601,700,1230,146.84,161.77,9.40,4.97,80.00,1230,14.936
2026-03-17 13:37:06.057,15,4651,750,1230,143.49,161.18,11.80,6.34,80.00,1230,14.105
2026-03-17 13:37:06.132,16,4701,800,1230,140.49,160.47,14.20,7.91,80.00,1230,16.984
2026-03-17 13:37:06.166,17,4751,850,1230,137.63,159.62,17.00,9.73,80.00,1230,13.862
2026-03-17 13:37:06.204,18,4801,900,1230,134.76,158.66,19.20,11.62,80.00,1230,23.100
2026-03-17 13:37:06.265,19,4851,950,1230,132.21,157.61,21.00,13.50,80.00,1230,24.602
2026-03-17 13:37:06.305,20,4901,1000,1230,128.85,156.47,22.80,15.36,80.00,1230,14.509
2026-03-17 13:37:06.354,21,4951,1050,1230,126.10,155.25,24.40,17.17,80.00,1230,13.652
2026-03-17 13:37:06.403,22,5001,1100,1230,123.21,153.93,26.40,19.01,80.00,1230,26.207
2026-03-17 13:37:06.456,23,5051,1150,1230,120.27,152.54,27.80,20.77,80.00,1230,21.308
2026-03-17 13:37:06.503,24,5101,1200,1230,117.32,151.08,29.20,22.46,80.00,1230,20.814
2026-03-17 13:37:06.553,25,5151,1250,1230,114.44,149.54,30.80,24.13,80.00,1230,15.980
2026-03-17 13:37:06.601,26,5201,1300,1230,111.41,147.93,32.20,25.74,80.00,1230,16.017
2026-03-17 13:37:06.666,27,5251,1350,1230,108.27,146.25,33.60,27.31,80.00,1230,14.196
2026-03-17 13:37:06.711,28,5301,1400,1230,105.27,144.51,34.80,28.81,76.09,1226,15.120
2026-03-17 13:37:06.754,29,5351,1450,1230,102.27,142.70,36.20,30.29,70.94,1221,19.140
2026-03-17 13:37:06.803,30,5401,1500,1221,99.16,140.83,37.40,31.71,65.81,1216,17.282
2026-03-17 13:37:06.867,31,5451,1550,1216,96.09,138.90,38.60,33.09,59.10,1209,31.479
2026-03-17 13:37:06.960,32,5501,1600,1216,93.33,136.91,39.80,34.43,53.07,1203,14.830
2026-03-17 13:37:06.979,33,5551,1650,1216,89.68,134.87,40.80,35.70,47.98,1198,27.577
2026-03-17 13:37:07.016,34,5601,1700,1203,86.49,132.79,41.60,36.88,46.00,1196,21.206
2026-03-17 13:37:07.066,35,5651,1750,1198,83.31,130.64,43.00,38.11,35.50,1185,19.366
2026-03-17 13:37:07.103,36,5701,1800,1196,80.62,128.43,44.20,39.33,29.26,1179,13.629
2026-03-17 13:37:07.153,37,5751,1850,1185,77.60,126.17,45.20,40.50,26.00,1176,26.142
2026-03-17 13:37:07.202,38,5801,1900,1179,74.86,123.90,45.40,41.48,16.04,1166,24.270
2026-03-17 13:37:07.250,39,5851,1950,1176,72.22,121.58,46.40,42.46,9.00,1159,22.694
2026-03-17 13:37:07.301,40,5901,2000,1159,69.78,119.25,46.60,43.29,6.00,1156,18.718
2026-03-17 13:37:07.350,41,5951,2050,1156,67.38,116.89,47.20,44.07,0.00,1150,16.372
2026-03-17 13:37:07.416,42,6001,2100,1150,65.63,114.54,47.00,44.66,0.00,1150,26.759
2026-03-17 13:37:07.453,43,6051,2150,1150,63.30,112.18,47.20,45.17,0.00,1150,20.162
2026-03-17 13:37:07.517,44,6101,2200,1150,61.55,109.85,46.60,45.45,0.00,1150,19.418
2026-03-17 13:37:07.556,45,6151,2250,1150,44.11,107.53,46.40,45.64,0.00,1150,10.683
2026-03-17 13:37:07.603,46,6201,2300,1150,59.10,105.23,46.00,45.71,0.00,1150,9.335
2026-03-17 13:37:07.657,47,6251,2350,1150,58.38,102.92,46.20,45.81,0.00,1150,19.432
2026-03-17 13:37:07.700,48,6301,2400,1150,57.83,100.69,44.60,45.57,0.00,1150,22.548
2026-03-17 13:37:07.752,49,6351,2450,1150,57.56,98.55,42.80,45.02,0.00,1150,16.465
2026-03-17 13:37:07.817,50,6401,2500,1150,57.06,96.51,40.80,44.17,0.00,1150,14.429
2026-03-17 13:37:07.857,51,6451,2550,1150,57.06,94.57,38.80,43.10,0.00,1150,21.173
2026-03-17 13:37:07.910,52,6501,2600,1150,56.99,92.69,37.60,42.00,0.00,1150,14.391
2026-03-17 13:37:07.950,53,6551,2650,1150,57.35,90.91,35.60,40.72,0.00,1150,20.258
2026-03-17 13:37:08.000,54,6601,2700,1150,57.42,89.22,33.80,39.33,0.00,1150,17.062
2026-03-17 13:37:08.051,55,6651,2750,1150,57.35,87.62,32.00,37.87,0.00,1150,11.792
2026-03-17 13:37:08.101,56,6701,2800,1150,57.35,86.11,30.20,36.33,0.00,1150,10.537
2026-03-17 13:37:08.152,57,6751,2850,1150,57.40,84.67,28.80,34.83,0.00,1150,22.022
2026-03-17 13:37:08.207,58,6801,2900,1150,56.92,83.31,27.20,33.30,0.00,1150,14.467
2026-03-17 13:37:08.254,59,6851,2950,1150,56.82,82.01,26.00,31.84,0.00,1150,14.550
2026-03-17 13:37:08.304,60,6901,3000,1150,57.06,80.76,25.00,30.47,0.00,1150,10.417
2026-03-17 13:37:08.361,61,6951,3050,1150,56.77,79.57,23.80,29.14,0.00,1150,15.513
2026-03-17 13:37:08.401,62,7001,3100,1150,56.75,78.43,22.80,27.87,0.00,1150,21.965
2026-03-17 13:37:08.451,63,7051,3150,1150,55.98,77.35,21.60,26.62,0.00,1150,19.391
2026-03-17 13:37:08.501,64,7101,3200,1150,56.27,76.32,20.60,25.41,0.00,1150,16.998
2026-03-17 13:37:08.566,65,7151,3250,1150,55.50,75.32,20.00,24.33,0.00,1150,13.833
2026-03-17 13:37:08.600,66,7201,3300,1150,55.43,74.35,19.40,23.34,0.00,1150,12.418
2026-03-17 13:37:08.650,67,7251,3350,1150,54.37,73.41,18.80,22.44,0.00,1150,8.830
2026-03-17 13:37:08.701,68,7301,3400,1150,53.94,72.51,18.00,21.55,0.00,1150,19.494
2026-03-17 13:37:08.751,69,7351,3450,1150,53.82,71.60,18.20,20.88,0.00,1150,16.345
