PC_TIME,K,TIME,TEXP,PWM_RX,DIST_RAW,DIST_FILT,V_RAW,V_FILT,U_SHIFT,U_CMD_PWM,LOOP_TIME_MS
2026-03-10 16:06:55.741,1,4413,50,1170.0,156.25,156.25,0.0,0.0,20.0,1170.0,72.004
2026-03-10 16:06:55.818,2,4463,100,1230.0,157.08,156.25,0.0,0.0,80.0,1230.0,25.853
2026-03-10 16:06:55.848,3,4513,150,1230.0,156.27,156.25,0.0,0.0,80.0,1230.0,26.72
2026-03-10 16:06:55.882,4,4563,200,1230.0,40.51,156.25,0.0,0.0,80.0,1230.0,22.194
2026-03-10 16:06:55.937,5,4613,250,1230.0,147.54,156.25,0.0,0.0,80.0,1230.0,15.82
2026-03-10 16:06:55.986,6,4663,300,1230.0,155.57,156.22,0.6,0.12,80.0,1230.0,29.389
2026-03-10 16:06:56.038,7,4713,350,1230.0,155.88,156.19,0.6,0.22,80.0,1230.0,23.892
2026-03-10 16:06:56.085,8,4763,400,1230.0,153.75,156.06,2.6,0.69,80.0,1230.0,24.714
2026-03-10 16:06:56.141,9,4813,450,1230.0,151.52,155.95,2.2,0.99,80.0,1230.0,30.714
2026-03-10 16:06:56.188,10,4863,500,1230.0,147.3,155.84,2.2,1.24,80.0,1230.0,30.697
2026-03-10 16:06:56.238,11,4913,550,1230.0,147.8,155.62,4.4,1.87,80.0,1230.0,27.652
2026-03-10 16:06:56.284,12,4963,600,1230.0,144.44,155.23,7.8,3.05,80.0,1230.0,27.743
2026-03-10 16:06:56.337,13,5013,650,1230.0,141.02,154.84,7.8,4.0,80.0,1230.0,20.946
2026-03-10 16:06:56.383,14,5063,700,1230.0,137.78,154.32,10.4,5.28,80.0,1230.0,21.206
2026-03-10 16:06:56.435,15,5113,750,1230.0,134.11,153.65,13.4,6.91,80.0,1230.0,16.494
2026-03-10 16:06:56.483,16,5163,800,1230.0,130.41,152.86,15.8,8.69,80.0,1230.0,30.285
2026-03-10 16:06:56.533,17,5213,850,1230.0,127.1,151.92,18.8,10.71,80.0,1230.0,26.567
2026-03-10 16:06:56.581,18,5263,900,1230.0,123.74,150.84,21.6,12.89,80.0,1230.0,24.539
2026-03-10 16:06:56.635,19,5313,950,1230.0,120.32,149.66,23.6,15.03,80.0,1230.0,18.087
2026-03-10 16:06:56.682,20,5363,1000,1230.0,117.32,148.36,26.0,17.22,80.0,1230.0,18.542
2026-03-10 16:06:56.737,21,5413,1050,1230.0,113.48,146.96,28.0,19.38,80.0,1230.0,26.561
2026-03-10 16:06:56.781,22,5463,1100,1230.0,110.02,145.48,29.6,21.42,80.0,1230.0,28.939
2026-03-10 16:06:56.837,23,5513,1150,1230.0,106.59,143.88,32.0,23.54,80.0,1230.0,20.676
2026-03-10 16:06:56.885,24,5563,1200,1230.0,103.23,142.18,34.0,25.63,80.0,1230.0,17.437
2026-03-10 16:06:56.936,25,5613,1250,1230.0,99.57,140.41,35.4,27.58,80.0,1230.0,30.155
2026-03-10 16:06:56.980,26,5663,1300,1230.0,96.33,138.55,37.2,29.51,80.0,1230.0,31.104
2026-03-10 16:06:57.036,27,5713,1350,1230.0,93.04,136.6,39.0,31.41,80.0,1230.0,23.245
2026-03-10 16:06:57.088,28,5763,1400,1230.0,89.73,134.58,40.4,33.2,80.0,1230.0,30.843
2026-03-10 16:06:57.148,29,5813,1450,1230.0,86.44,132.51,41.4,34.84,80.0,1230.0,19.093
2026-03-10 16:06:57.183,30,5863,1500,1230.0,83.33,130.37,42.8,36.44,80.0,1230.0,29.313
2026-03-10 16:06:57.230,31,5913,1550,1230.0,80.07,128.17,44.0,37.95,80.0,1230.0,30.483
2026-03-10 16:06:57.281,32,5963,1600,1230.0,76.8,125.93,44.8,39.32,80.0,1230.0,25.882
2026-03-10 16:06:57.330,33,6013,1650,1230.0,73.66,123.64,45.8,40.61,80.0,1230.0,24.126
2026-03-10 16:06:57.383,34,6063,1700,1230.0,70.54,121.29,47.0,41.89,80.0,1230.0,18.467
2026-03-10 16:06:57.435,35,6113,1750,1230.0,67.43,118.91,47.6,43.03,80.0,1230.0,27.316
2026-03-10 16:06:57.482,36,6163,1800,1150.0,64.21,116.49,48.4,44.11,0.0,1150.0,27.326
2026-03-10 16:06:57.554,37,6213,1850,1150.0,61.12,114.04,49.0,45.09,0.0,1150.0,16.579
2026-03-10 16:06:57.578,38,6263,1900,1150.0,58.14,111.55,49.8,46.03,0.0,1150.0,39.764
2026-03-10 16:06:57.628,39,6313,1950,1150.0,54.78,109.03,50.4,46.9,0.0,1150.0,20.642
2026-03-10 16:06:57.678,40,6363,2000,1150.0,52.38,106.48,51.0,47.72,0.0,1150.0,17.519
2026-03-10 16:06:57.801,41,6413,2050,1150.0,49.74,103.9,51.6,48.5,0.0,1150.0,21.153
2026-03-10 16:06:57.826,42,6463,2100,1150.0,12.31,101.32,51.6,49.12,0.0,1150.0,11.583
2026-03-10 16:06:57.853,43,6513,2150,1150.0,45.24,98.74,51.6,49.61,0.0,1150.0,16.313
2026-03-10 16:06:57.878,44,6563,2200,1150.0,43.27,96.07,53.4,50.37,0.0,1150.0,22.059
2026-03-10 16:06:57.927,45,6613,2250,1150.0,42.05,93.43,52.8,50.86,0.0,1150.0,19.883
2026-03-10 16:06:57.978,46,6663,2300,1150.0,40.56,90.86,51.4,50.97,0.0,1150.0,14.796
2026-03-10 16:06:58.028,47,6713,2350,1150.0,39.29,88.42,48.8,50.53,0.0,1150.0,12.434
2026-03-10 16:06:58.079,48,6763,2400,1150.0,38.04,86.03,47.8,49.99,0.0,1150.0,23.303
2026-03-10 16:06:58.142,49,6813,2450,1150.0,37.08,83.69,46.8,49.35,0.0,1150.0,22.738
2026-03-10 16:06:58.180,50,6863,2500,1150.0,36.24,81.41,45.6,48.6,0.0,1150.0,15.172
2026-03-10 16:06:58.230,51,6913,2550,1150.0,35.45,79.19,44.4,47.76,0.0,1150.0,27.005
2026-03-10 16:06:58.277,52,6963,2600,1150.0,34.85,77.04,43.0,46.81,0.0,1150.0,11.072
2026-03-10 16:06:58.328,53,7013,2650,1150.0,34.8,74.96,41.6,45.77,0.0,1150.0,22.483
2026-03-10 16:06:58.376,54,7063,2700,1150.0,34.03,72.96,40.0,44.61,0.0,1150.0,19.395
2026-03-10 16:06:58.436,55,7113,2750,1150.0,33.72,71.05,38.2,43.33,0.0,1150.0,21.343
2026-03-10 16:06:58.476,56,7163,2800,1150.0,33.49,69.2,37.0,42.06,0.0,1150.0,13.75
2026-03-10 16:06:58.526,57,7213,2850,1150.0,33.24,67.42,35.6,40.77,0.0,1150.0,25.237
2026-03-10 16:06:58.576,58,7263,2900,1150.0,33.55,65.73,33.8,39.38,0.0,1150.0,21.604
2026-03-10 16:06:58.626,59,7313,2950,1150.0,33.0,64.12,32.2,37.94,0.0,1150.0,18.126
2026-03-10 16:06:58.687,60,7363,3000,1150.0,33.0,62.57,31.0,36.55,0.0,1150.0,20.025
2026-03-10 16:06:58.730,61,7413,3050,1150.0,33.48,61.11,29.2,35.08,0.0,1150.0,25.467
2026-03-10 16:06:58.783,62,7463,3100,1150.0,33.49,59.73,27.6,33.59,0.0,1150.0,18.55
2026-03-10 16:06:58.833,63,7513,3150,1150.0,33.46,58.41,26.4,32.15,0.0,1150.0,16.37
2026-03-10 16:06:58.888,64,7563,3200,1150.0,33.48,57.17,24.8,30.68,0.0,1150.0,21.394
2026-03-10 16:06:58.929,65,7613,3250,1150.0,33.48,55.98,23.8,29.3,0.0,1150.0,12.145
2026-03-10 16:06:58.979,66,7663,3300,1150.0,33.48,54.86,22.4,27.92,0.0,1150.0,24.867
2026-03-10 16:06:59.028,67,7713,3350,1150.0,33.48,53.79,21.4,26.62,0.0,1150.0,21.933
2026-03-10 16:06:59.080,68,7763,3400,1150.0,33.48,52.77,20.4,25.37,0.0,1150.0,16.631
2026-03-10 16:06:59.130,69,7813,3450,1150.0,33.48,51.81,19.2,24.14,0.0,1150.0,13.491
2026-03-10 16:06:59.186,70,7863,3500,1150.0,33.48,50.89,18.4,22.99,0.0,1150.0,20.323
2026-03-10 16:06:59.227,71,7913,3550,1150.0,33.48,50.02,17.4,21.87,0.0,1150.0,25.107
2026-03-10 16:06:59.286,72,7963,3600,1150.0,33.48,49.19,16.6,20.82,0.0,1150.0,11.829
2026-03-10 16:06:59.333,73,8013,3650,1150.0,33.49,48.41,15.6,19.77,0.0,1150.0,12.894
2026-03-10 16:06:59.376,74,8063,3700,1150.0,33.48,47.66,15.0,18.82,0.0,1150.0,13.883
2026-03-10 16:06:59.430,75,8113,3750,1150.0,33.48,46.95,14.2,17.9,0.0,1150.0,22.818
2026-03-10 16:06:59.479,76,8163,3800,1150.0,33.48,46.28,13.4,17.0,0.0,1150.0,21.297
2026-03-10 16:06:59.529,77,8213,3850,1150.0,33.49,45.64,12.8,16.16,0.0,1150.0,17.953
2026-03-10 16:06:59.578,78,8263,3900,1150.0,33.48,45.03,12.2,15.37,0.0,1150.0,15.759
2026-03-10 16:06:59.631,79,8313,3950,1150.0,33.49,44.45,11.6,14.61,0.0,1150.0,8.541
2026-03-10 16:06:59.677,80,8363,4000,1150.0,33.48,43.9,11.0,13.89,0.0,1150.0,7.901
2026-03-10 16:06:59.732,81,8413,4050,1150.0,33.49,43.38,10.4,13.19,0.0,1150.0,14.129
2026-03-10 16:06:59.784,82,8463,4100,1150.0,33.48,42.89,9.8,12.51,0.0,1150.0,10.514
2026-03-10 16:06:59.827,83,8513,4150,1150.0,33.48,42.42,9.4,11.89,0.0,1150.0,12.527
2026-03-10 16:06:59.878,84,8563,4200,1150.0,33.48,41.97,9.0,11.31,0.0,1150.0,9.07
2026-03-10 16:06:59.927,85,8613,4250,1150.0,33.48,41.54,8.6,10.77,0.0,1150.0,6.318
2026-03-10 16:06:59.977,86,8663,4300,1150.0,33.48,41.14,8.0,10.22,0.0,1150.0,17.5
2026-03-10 16:07:00.032,87,8713,4350,1150.0,33.48,40.76,7.6,9.69,0.0,1150.0,9.229
2026-03-10 16:07:00.082,88,8763,4400,1150.0,33.48,40.39,7.4,9.23,0.0,1150.0,3.998
2026-03-10 16:07:00.128,89,8813,4450,1150.0,33.48,40.05,6.8,8.75,0.0,1150.0,5.714
2026-03-10 16:07:00.179,90,8863,4500,1150.0,33.48,39.72,6.6,8.32,0.0,1150.0,16.823
2026-03-10 16:07:00.229,91,8913,4550,1150.0,33.48,39.41,6.2,7.89,0.0,1150.0,13.335
2026-03-10 16:07:00.278,92,8963,4600,1150.0,33.48,39.11,6.0,7.52,0.0,1150.0,10.613
2026-03-10 16:07:00.331,93,9013,4650,1150.0,33.48,38.83,5.6,7.13,0.0,1150.0,6.375
2026-03-10 16:07:00.379,94,9063,4700,1150.0,33.48,38.56,5.4,6.79,0.0,1150.0,4.731
2026-03-10 16:07:00.430,95,9113,4750,1150.0,33.05,38.31,5.0,6.43,0.0,1150.0,16.079
2026-03-10 16:07:00.477,96,9163,4800,1150.0,33.48,38.07,4.8,6.1,0.0,1150.0,15.0
2026-03-10 16:07:00.528,97,9213,4850,1150.0,33.48,37.84,4.6,5.8,0.0,1150.0,11.623
2026-03-10 16:07:00.582,98,9263,4900,1150.0,33.05,37.62,4.4,5.52,0.0,1150.0,4.327
2026-03-10 16:07:00.629,99,9313,4950,1150.0,33.48,37.41,4.2,5.26,0.0,1150.0,4.365
2026-03-10 16:07:00.679,100,9363,5000,1150.0,33.49,37.21,4.0,5.01,0.0,1150.0,15.965
2026-03-10 16:07:00.739,101,9413,5050,1150.0,33.48,37.03,3.6,4.72,0.0,1150.0,4.871
2026-03-10 16:07:00.780,102,9463,5100,1150.0,33.05,36.85,3.6,4.5,0.0,1150.0,10.378
2026-03-10 16:07:00.828,103,9513,5150,1150.0,33.48,36.68,3.4,4.28,0.0,1150.0,10.565
2026-03-10 16:07:00.876,104,9563,5200,1150.0,33.49,36.52,3.2,4.06,0.0,1150.0,8.82
2026-03-10 16:07:00.932,105,9613,5250,1150.0,33.48,36.37,3.0,3.85,0.0,1150.0,14.332
2026-03-10 16:07:00.983,106,9663,5300,1150.0,33.49,36.22,3.0,3.68,0.0,1150.0,11.209
2026-03-10 16:07:01.031,107,9713,5350,1150.0,33.48,36.09,2.6,3.46,0.0,1150.0,9.627
2026-03-10 16:07:01.077,108,9763,5400,1150.0,33.49,35.96,2.6,3.29,0.0,1150.0,9.13
2026-03-10 16:07:01.134,109,9813,5450,1150.0,33.48,35.83,2.6,3.15,0.0,1150.0,14.949
2026-03-10 16:07:01.179,110,9863,5500,1150.0,33.48,35.72,2.2,2.96,0.0,1150.0,16.29
2026-03-10 16:07:01.241,111,9913,5550,1150.0,33.48,35.6,2.4,2.85,0.0,1150.0,16.137
2026-03-10 16:07:01.279,112,9963,5600,1150.0,33.49,35.5,2.0,2.68,0.0,1150.0,11.209
2026-03-10 16:07:01.334,113,10013,5650,1150.0,33.48,35.4,2.0,2.54,0.0,1150.0,17.141
2026-03-10 16:07:01.380,114,10063,5700,1150.0,33.49,35.3,2.0,2.44,0.0,1150.0,18.698
2026-03-10 16:07:01.427,115,10113,5750,1150.0,33.48,35.21,1.8,2.31,0.0,1150.0,18.027
2026-03-10 16:07:01.479,116,10163,5800,1150.0,33.46,35.12,1.8,2.21,0.0,1150.0,13.513
2026-03-10 16:07:01.539,117,10213,5850,1150.0,33.48,35.04,1.6,2.09,0.0,1150.0,14.102
2026-03-10 16:07:01.585,118,10263,5900,1150.0,33.48,34.96,1.6,1.99,0.0,1150.0,16.068
2026-03-10 16:07:01.626,119,10313,5950,1150.0,33.48,34.89,1.4,1.87,0.0,1150.0,4.613
2026-03-10 16:07:01.679,120,10363,6000,1150.0,33.48,34.82,1.4,1.78,0.0,1150.0,15.583
