PC_TIME,K,TIME,TEXP,PWM_RX,DIST_RAW,DIST_FILT,V_RAW,V_FILT,U_SHIFT,U_CMD_PWM,LOOP_TIME_MS
2026-04-01 13:44:04.859,1,4034,50,1150,206.69,206.69,0.00,0.00,11.87,1162,44.153
2026-04-01 13:44:05.112,2,4084,100,1150,204.14,206.69,0.00,0.00,11.87,1162,39.783
2026-04-01 13:44:05.156,3,4134,150,1150,204.14,206.69,0.00,0.00,11.87,1162,26.345
2026-04-01 13:44:05.186,4,4184,200,1150,207.57,206.69,0.00,0.00,11.87,1162,42.667
2026-04-01 13:44:05.232,5,4234,250,1150,205.42,206.63,1.20,0.24,11.85,1162,27.969
2026-04-01 13:44:05.264,6,4284,300,1150,206.28,206.57,1.20,0.43,11.83,1162,27.090
2026-04-01 13:44:05.305,7,4334,350,1162,205.44,206.51,1.20,0.59,11.82,1162,33.591
2026-04-01 13:44:05.341,8,4384,400,1162,204.57,206.46,1.00,0.67,21.61,1172,28.679
2026-04-01 13:44:05.373,9,4434,450,1162,205.23,206.41,1.00,0.73,21.61,1172,28.379
2026-04-01 13:44:05.405,10,4484,500,1162,218.17,206.36,1.00,0.79,21.61,1172,26.942
2026-04-01 13:44:05.436,11,4534,550,1162,202.61,206.30,1.20,0.87,21.61,1172,27.501
2026-04-01 13:44:05.466,12,4584,600,1162,200.33,206.21,1.80,1.06,21.61,1172,28.717
2026-04-01 13:44:05.498,13,4634,650,1172,214.74,206.17,0.80,1.00,21.61,1172,29.008
2026-04-01 13:44:05.530,14,4684,700,1172,200.36,205.99,3.60,1.52,31.61,1182,27.425
2026-04-01 13:44:05.561,15,4734,750,1172,172.17,205.71,5.60,2.34,31.61,1182,27.986
2026-04-01 13:44:05.594,16,4784,800,1172,195.05,205.44,5.40,2.95,31.61,1182,42.835
2026-04-01 13:44:05.647,17,4834,850,1182,197.86,205.06,7.60,3.88,31.61,1182,36.122
2026-04-01 13:44:05.697,18,4884,900,1182,191.99,204.56,10.00,5.10,41.61,1192,33.898
2026-04-01 13:44:05.744,19,4934,950,1182,203.62,204.08,9.60,6.00,41.61,1192,33.657
2026-04-01 13:44:05.792,20,4984,1000,1192,188.86,203.63,9.00,6.60,41.61,1192,32.082
2026-04-01 13:44:05.842,21,5034,1050,1192,186.54,203.05,11.60,7.60,51.61,1202,29.651
2026-04-01 13:44:05.904,22,5084,1100,1192,183.14,202.34,14.20,8.92,51.61,1202,29.619
2026-04-01 13:44:05.946,23,5134,1150,1202,178.84,201.55,15.80,10.30,51.61,1202,34.008
2026-04-01 13:44:05.992,24,5184,1200,1202,131.73,200.63,18.40,11.92,61.61,1212,35.783
2026-04-01 13:44:06.042,25,5234,1250,1202,177.55,199.54,21.80,13.89,61.61,1212,33.399
2026-04-01 13:44:06.096,26,5284,1300,1212,174.81,198.44,22.00,15.52,61.61,1212,41.166
2026-04-01 13:44:06.149,27,5334,1350,1212,170.13,197.26,23.60,17.13,71.61,1222,35.689
2026-04-01 13:44:06.336,28,5384,1400,1212,168.36,195.90,27.20,19.15,71.61,1222,38.037
2026-04-01 13:44:06.377,29,5434,1450,1212,165.19,194.61,25.80,20.48,71.61,1222,27.153
2026-04-01 13:44:06.408,30,5484,1500,1212,161.83,193.30,26.20,21.62,71.61,1222,41.769
2026-04-01 13:44:06.453,31,5534,1550,1212,80.43,191.90,28.00,22.90,71.61,1222,42.602
2026-04-01 13:44:06.499,32,5584,1600,1222,156.17,190.39,30.20,24.36,71.61,1222,42.923
2026-04-01 13:44:06.545,33,5634,1650,1222,152.38,188.68,34.20,26.33,0.00,1150,26.867
2026-04-01 13:44:06.576,34,5684,1700,1222,149.31,186.87,36.20,28.30,0.00,1150,26.896
2026-04-01 13:44:06.606,35,5734,1750,1222,146.14,184.99,37.60,30.16,0.00,1150,28.453
2026-04-01 13:44:06.640,36,5784,1800,1222,143.85,183.20,35.80,31.29,0.00,1150,25.843
2026-04-01 13:44:06.668,37,5834,1850,1150,140.39,181.35,37.00,32.43,0.00,1150,28.523
2026-04-01 13:44:06.701,38,5884,1900,1150,136.94,179.48,37.40,33.42,9.61,1160,44.507
2026-04-01 13:44:06.752,39,5934,1950,1150,134.27,177.52,39.20,34.58,9.61,1160,39.359
2026-04-01 13:44:06.808,40,5984,2000,1160,131.97,175.49,40.60,35.78,9.61,1160,44.839
2026-04-01 13:44:06.870,41,6034,2050,1160,129.33,173.43,41.20,36.87,19.61,1170,46.904
2026-04-01 13:44:06.921,42,6084,2100,1160,127.27,171.36,41.40,37.77,19.61,1170,41.233
2026-04-01 13:44:06.967,43,6134,2150,1170,125.73,169.26,42.00,38.62,19.61,1170,43.030
2026-04-01 13:44:07.012,44,6184,2200,1170,123.38,167.16,42.00,39.30,29.61,1180,42.637
2026-04-01 13:44:07.059,45,6234,2250,1170,121.73,165.09,41.40,39.72,29.61,1180,43.346
2026-04-01 13:44:07.106,46,6284,2300,1180,120.17,163.00,41.80,40.13,29.61,1180,42.359
2026-04-01 13:44:07.152,47,6334,2350,1180,118.54,160.94,41.20,40.35,39.61,1190,42.362
2026-04-01 13:44:07.199,48,6384,2400,1180,117.03,158.90,40.80,40.44,39.48,1189,43.198
2026-04-01 13:44:07.247,49,6434,2450,1190,115.71,156.88,40.40,40.43,38.77,1189,42.751
2026-04-01 13:44:07.293,50,6484,2500,1189,114.27,154.89,39.80,40.30,47.95,1198,43.510
2026-04-01 13:44:07.359,51,6534,2550,1189,113.43,152.93,39.20,40.08,46.35,1196,39.709
2026-04-01 13:44:07.402,52,6584,2600,1198,111.63,151.00,38.60,39.79,45.77,1196,42.155
2026-04-01 13:44:07.448,53,6634,2650,1196,110.26,149.12,37.60,39.35,54.12,1204,41.879
2026-04-01 13:44:07.494,54,6684,2700,1196,108.51,147.24,37.60,39.00,51.62,1202,42.354
2026-04-01 13:44:07.542,55,6734,2750,1204,106.64,145.39,37.00,38.60,51.13,1201,43.161
2026-04-01 13:44:07.588,56,6784,2800,1202,104.77,143.55,36.80,38.24,58.54,1209,44.064
2026-04-01 13:44:07.647,57,6834,2850,1201,102.81,141.70,37.00,37.99,56.08,1206,45.532
2026-04-01 13:44:07.696,58,6884,2900,1209,100.70,139.86,36.80,37.75,54.62,1205,43.691
2026-04-01 13:44:07.743,59,6934,2950,1206,98.06,138.01,37.00,37.60,62.06,1212,44.173
2026-04-01 13:44:07.792,60,6984,3000,1205,95.83,136.14,37.40,37.56,58.62,1209,41.085
2026-04-01 13:44:07.838,61,7034,3050,1212,93.79,134.24,38.00,37.65,57.15,1207,42.423
2026-04-01 13:44:07.910,62,7084,3100,1209,90.81,132.32,38.40,37.80,63.59,1214,48.807
2026-04-01 13:44:07.963,63,7134,3150,1207,88.60,130.39,38.60,37.96,60.15,1210,41.957
2026-04-01 13:44:08.009,64,7184,3200,1214,85.48,128.41,39.60,38.29,57.68,1208,42.297
2026-04-01 13:44:08.056,65,7234,3250,1210,82.77,126.42,39.80,38.59,64.14,1214,41.962
2026-04-01 13:44:08.102,66,7284,3300,1208,79.94,124.37,41.00,39.07,59.69,1210,43.469
2026-04-01 13:44:08.149,67,7334,3350,1214,77.12,122.29,41.60,39.58,57.22,1207,42.542
2026-04-01 13:44:08.195,68,7384,3400,1210,74.53,120.18,42.20,40.10,62.69,1213,42.332
2026-04-01 13:44:08.241,69,7434,3450,1207,71.60,118.02,43.20,40.72,58.24,1208,42.367
2026-04-01 13:44:08.298,70,7484,3500,1213,68.79,115.85,43.40,41.26,54.80,1205,31.875
2026-04-01 13:44:08.347,71,7534,3550,1208,65.84,113.64,44.20,41.85,60.29,1210,44.829
2026-04-01 13:44:08.395,72,7584,3600,1205,63.16,111.39,45.00,42.48,54.87,1205,43.212
2026-04-01 13:44:08.443,73,7634,3650,1210,60.75,109.12,45.40,43.06,51.44,1201,57.841
2026-04-01 13:44:08.506,74,7684,3700,1205,58.70,106.82,46.00,43.65,55.96,1206,58.459
2026-04-01 13:44:08.566,75,7734,3750,1201,57.44,104.51,46.20,44.16,50.57,1201,43.164
2026-04-01 13:44:08.613,76,7784,3800,1206,56.49,102.22,45.80,44.49,46.19,1196,42.711
2026-04-01 13:44:08.660,77,7834,3850,1201,56.11,99.98,44.80,44.55,50.79,1201,42.549
2026-04-01 13:44:08.706,78,7884,3900,1196,55.94,97.81,43.40,44.32,45.50,1195,42.418
2026-04-01 13:44:08.752,79,7934,3950,1201,55.65,95.73,41.60,43.78,40.24,1190,42.438
2026-04-01 13:44:08.798,80,7984,4000,1195,55.34,93.74,39.80,42.98,44.95,1195,42.554
2026-04-01 13:44:08.845,81,8034,4050,1190,54.86,91.83,38.20,42.02,38.76,1189,42.161
2026-04-01 13:44:08.892,82,8084,4100,1195,54.43,90.01,36.40,40.90,33.60,1184,41.202
2026-04-01 13:44:08.939,83,8134,4150,1189,54.01,88.25,35.20,39.76,38.37,1188,39.814
